"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 20 10:28:02 MSK 2021","Sat Mar 20 10:28:17 MSK 2021","14888","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_choice_repeats_line_tab_lines_dont_extend",""
"passed","Sat Mar 20 10:29:36 MSK 2021","Sat Mar 20 10:29:45 MSK 2021","9159","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_in_subway_cities[Санкт-Петербург]",""
"passed","Sat Mar 20 10:28:30 MSK 2021","Sat Mar 20 10:28:45 MSK 2021","14753","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_stations_list_closed_while_searching_in_search_box",""
"passed","Sat Mar 20 10:27:24 MSK 2021","Sat Mar 20 10:27:50 MSK 2021","25804","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_switching_tabs_saves_checkboxes",""
"passed","Sat Mar 20 10:30:25 MSK 2021","Sat Mar 20 10:30:34 MSK 2021","8065","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_in_subway_cities[Нижний Новгород]",""
"passed","Sat Mar 20 10:27:54 MSK 2021","Sat Mar 20 10:27:58 MSK 2021","4786","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_floating_button_appear_after_choosing_station",""
"passed","Sat Mar 20 10:29:12 MSK 2021","Sat Mar 20 10:29:21 MSK 2021","9232","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_in_subway_cities[Москва]",""
"passed","Sat Mar 20 10:30:13 MSK 2021","Sat Mar 20 10:30:22 MSK 2021","8325","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_in_subway_cities[Екатеринбург]",""
"passed","Sat Mar 20 10:30:37 MSK 2021","Sat Mar 20 10:30:45 MSK 2021","8279","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_in_subway_cities[Новосибирск]",""
"passed","Sat Mar 20 10:29:24 MSK 2021","Sat Mar 20 10:29:32 MSK 2021","7556","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_in_subway_cities[Москва и МО]",""
"passed","Sat Mar 20 10:31:24 MSK 2021","Sat Mar 20 10:31:43 MSK 2021","18761","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_not_in_other_cities[Тамбов]",""
"failed","Sat Mar 20 10:32:09 MSK 2021","Sat Mar 20 10:32:16 MSK 2021","6041","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_search_results_contain_letter",""
"passed","Sat Mar 20 10:30:49 MSK 2021","Sat Mar 20 10:30:58 MSK 2021","8687","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_in_subway_cities[Самара]",""
"passed","Sat Mar 20 10:31:47 MSK 2021","Sat Mar 20 10:32:06 MSK 2021","18762","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_not_in_other_cities[Челябинск]",""
"passed","Sat Mar 20 10:31:02 MSK 2021","Sat Mar 20 10:31:21 MSK 2021","18929","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_not_in_other_cities[Краснодар]",""
"passed","Sat Mar 20 10:30:01 MSK 2021","Sat Mar 20 10:30:10 MSK 2021","8435","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_in_subway_cities[Казань]",""
"passed","Sat Mar 20 10:28:21 MSK 2021","Sat Mar 20 10:28:27 MSK 2021","5924","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_reset_button_is_disabled",""
"passed","Sat Mar 20 10:29:49 MSK 2021","Sat Mar 20 10:29:58 MSK 2021","9044","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_subway_field_in_subway_cities[Санкт-Петербург и ЛО]",""
"passed","Sat Mar 20 10:28:49 MSK 2021","Sat Mar 20 10:29:08 MSK 2021","19216","PycharmProjects.E2E_testing_pytest_selenium","test_feature","TestFeature","","","test_correct_words_on_choice_button",""
